,mH,k,b,err^2
0,0.1,-0.2171472370128554,0.5048084041629641,3.1582755999809514e-13
1,0.15,-0.21714723809606443,0.38664087807396985,2.0421051080093266e-13
2,0.2,-0.217147238497923,0.28181160907727865,2.412933895983737e-13
3,0.25,-0.21714723551405693,-1.5760020136955037,3.7139895607576076e-13
4,0.3,-0.21714723518510967,-2.1758316391791053,3.317292902822195e-13
5,0.35,-0.21714723666997773,-2.3207205092010113,2.3379466484540067e-13
6,0.4,-0.2171472352274525,-2.4207584724063684,3.5061578809733544e-13
7,0.45,-0.2171472351004946,-2.4976485835275772,7.24624762596896e-13
8,0.5,-0.21714723568981018,-2.5620428804405466,4.680000606015362e-13
9,0.55,-0.21714723606369954,-2.6060950176592397,2.0457398205783131e-13
10,0.6,-0.21714723756082258,-2.656859581855242,1.3488906197958718e-13
11,0.65,-0.21714723557893162,-2.6959675909734746,7.507888219076786e-13
12,0.7,-0.21714723699462762,-2.7446769314990185,2.2465550874473387e-13
13,0.75,-0.21714723281126577,-2.791328292738759,5.504295669737211e-13
14,0.8,-0.21714723379224604,-2.8517628029400064,6.379343871104442e-13
15,0.85,-0.21714723692626275,-2.923040198673247,3.2817332364046117e-13
16,0.9,-0.2171472358043823,-3.0412859522930034,2.063636036574552e-13
17,0.95,-0.21714723632725608,-3.20115561641541,3.4353176314732685e-13
18,1.0,-0.21714723464638466,-3.1810820153239785,2.8780279818253975e-13
19,1.05,-0.2171472363294711,-3.0464748832232313,2.941024309122471e-13
20,1.1,-0.217147236537469,-2.9613412695483516,5.308058542531305e-13
21,1.15,-0.21714723564327715,-2.9042952405961078,3.0091529049794816e-13
22,1.2,-0.21714723496906985,-2.888248722325802,4.121501173973545e-13
23,1.25,-0.2171472380047208,-2.8849907199611526,5.472476517043719e-13
24,1.3,-0.21714723563964367,-2.9004478139979133,3.431474407240072e-13
25,1.35,-0.21714723517849613,-2.9065332685696585,6.36106443594171e-13
26,1.4,-0.21714723587641388,-2.901590255213199,4.749172109243412e-13
27,1.45,-0.21714723537497962,-2.8897165058971686,2.6853907723989767e-13
28,1.5,-0.21714723634965563,-2.880415620509256,3.4024064132796836e-13
29,1.55,-0.2171472364783096,-2.881244548484884,3.9460384197005454e-13
30,1.6,-0.21714723456368404,-2.8871712640190608,3.9123998393788043e-13
31,1.65,-0.2171472365923059,-2.87943568517888,3.4547795992603016e-13
32,1.7,-0.21714723654575077,-2.866458708551265,2.455323941300085e-13
33,1.75,-0.2171472344691014,-2.8551500203917453,4.812453765654386e-13
34,1.8,-0.21714723697379512,-2.848864983556446,3.2846416966016805e-13
35,1.85,-0.21714723610867703,-2.845661818761003,2.33669369346375e-13
36,1.9,-0.21714723617600018,-2.84418543662662,3.086173531287987e-13
37,1.95,-0.2171472375898319,-2.8469430755593597,3.052189893737727e-13
38,2.0,-0.21714723727604987,-2.84025449263275,2.535004549060429e-13
39,2.05,-0.21714723567337546,-2.8516040044517843,2.4270891740857605e-13
40,2.1,-0.21714723463137456,-2.862641459225695,3.8578814679195943e-13
41,2.15,-0.2171472336069522,-2.873716985914968,5.334533955418808e-13
42,2.2,-0.21714723779062886,-2.884741644874799,6.805426127927962e-13
43,2.25,-0.21714723753856463,-2.8955756300730897,4.582804353816668e-13
44,2.3,-0.21714723608994213,-2.9063013326623612,1.6252139397821024e-13
45,2.35,-0.21714723599768762,-2.91723242240968,2.753758696353089e-13
46,2.4,-0.21714723656634538,-2.9282938270260157,2.565558425271812e-13
47,2.45,-0.21714723727159638,-2.9399147673816763,3.7289877234585056e-13
48,2.5,-0.21714723573866496,-2.951880331868546,3.6902916901878045e-13
49,2.55,-0.2171472345601591,-2.964374345915635,6.108057664229363e-13
50,2.6,-0.2171472353726039,-2.9786162566214367,6.388120248883386e-13
51,2.65,-0.21714723746884584,-2.992162616408263,2.761190405829281e-13
52,2.7,-0.217147235094607,-3.0043600496423184,5.582788749079022e-13
53,2.75,-0.2171472366499286,-3.015315023046298,1.952098781700556e-13
54,2.8,-0.21714723599091446,-3.0252115544111646,2.513774200061622e-13
55,2.85,-0.21714723446549833,-3.0342295020515575,5.320373612423937e-13
56,2.9,-0.21714723716496254,-3.0424880567883754,4.986692809592932e-13
57,2.95,-0.21714723544919734,-3.0500511683844573,4.758362351050298e-13
58,3.0,-0.21714723630718571,-3.057385553896978,4.978062659288111e-13
59,3.05,-0.2171472363502502,-3.0643277458061364,3.116271902269891e-13
60,3.1,-0.21714723580905895,-3.0707867745760105,2.4197887541215415e-13
61,3.15,-0.21714723614054296,-3.076781764193904,2.602251272848015e-13
62,3.2,-0.2171472347707742,-3.082383385522858,4.582972607201637e-13
63,3.25,-0.21714723668501348,-3.0877399623669763,1.5370240555862213e-13
64,3.3,-0.21714723497011792,-3.0927832199502197,3.334692057327195e-13
65,3.35,-0.21714723641873968,-3.0977509891641377,4.2926530442617556e-13
66,3.4,-0.2171472358368962,-3.1026148724969005,4.2436369274004527e-13
67,3.45,-0.21714723606341657,-3.1072351631314077,1.8920341448812557e-13
68,3.5,-0.21714723642168746,-3.111554814976268,4.053481392397186e-13
69,3.55,-0.2171472356361621,-3.1153511077198996,2.2445872483530286e-13
70,3.6,-0.21714723635727526,-3.137614912762589,1.8745375902236696e-13
71,3.65,-0.21714723718770637,-3.1728929132505046,1.8306826318299913e-13
72,3.7,-0.21714723570762326,-3.210165200506531,2.7397753238249487e-13
73,3.75,-0.2171472363934832,-3.2509411452481096,2.9735284121977963e-13
74,3.8,-0.21714723594863888,-3.3045163028709466,3.220678378174034e-13
75,3.85,-0.2171472361603618,-3.3558450503139223,1.8452268369024149e-13
76,3.9,-0.21714723651599677,-3.4021159772778358,2.422560078613664e-13
77,3.95,-0.21714723640861494,-3.443400646305828,1.733883352420496e-13
78,4.0,-0.21714723529702767,-3.480197756297347,4.1275401223355977e-13
79,4.05,-0.21714723714742412,-3.513171757333944,1.360292532539485e-13
80,4.1,-0.21714723651627554,-3.54291105031463,4.031177174000823e-13
81,4.15,-0.21714723719394627,-3.5699130865134445,1.3162652745915344e-13
82,4.2,-0.21714723602507455,-3.5945707044246933,4.168455943150791e-13
83,4.25,-0.21714723677275385,-3.617214093879589,5.2846204458269e-13
84,4.3,-0.2171472348332518,-3.638113746330917,2.8845863938145627e-13
85,4.35,-0.21714723701327154,-3.657492674249647,1.9002032914145916e-13
86,4.4,-0.21714723469034156,-3.6755326704312505,2.9986267373000935e-13
87,4.45,-0.21714723651934628,-3.6923928959337733,6.255422559321213e-13
88,4.5,-0.21714723594364013,-3.708206900648572,3.728407826875559e-13
89,4.55,-0.2171472366795627,-3.7230775015298745,2.730232485107194e-13
90,4.6,-0.21714723620750817,-3.7371017937129096,2.2679566170109925e-13
91,4.65,-0.21714723595631857,-3.7503735794238535,3.033015999004407e-13
92,4.7,-0.21714723744354852,-3.762949020999906,2.8651347780687983e-13
93,4.75,-0.21714723792034527,-3.7748898405621243,3.2762149736117114e-13
94,4.8,-0.21714723505380634,-3.7862350245973504,5.027922690700876e-13
95,4.85,-0.21714723200489655,-3.7970509111810613,6.312763697767077e-13
96,4.9,-0.21714723734001595,-3.8074014708368287,1.8570369613077006e-13
97,4.95,-0.21714723547379022,-3.8173348422281883,2.670714746334547e-13
98,5.0,-0.21714723506776815,-3.8268508332300577,4.114837800618893e-13
99,5.05,-0.21714723553788812,-3.8359797716145643,2.853079061218077e-13
100,5.1,-0.217147237588178,-3.8447297523567316,4.167916428261863e-13
101,5.15,-0.21714723641073,-3.8531365082960516,3.391444786620686e-13
102,5.2,-0.21714723622629561,-3.8612322759783977,4.0303001413433275e-13
103,5.25,-0.21714723462354438,-3.869036750411329,3.3918244563570934e-13
104,5.3,-0.21714723593192894,-3.8765688682175563,2.9744745084638904e-13
105,5.35,-0.21714723707045847,-3.883845165316588,4.6939038155816e-13
106,5.4,-0.2171472357675813,-3.8908806844070885,2.8804016300875475e-13
107,5.45,-0.2171472335163637,-3.897689363403165,3.762677368780001e-13
108,5.5,-0.2171472371361594,-3.904285169709238,1.561734120101651e-13
109,5.55,-0.21714723545475714,-3.9106796382674247,4.634262512774395e-13
110,5.6,-0.2171472359191172,-3.9168913331430204,3.3459770655199024e-13
111,5.65,-0.2171472356384042,-3.9229219558018755,4.258665939607214e-13
112,5.7,-0.21714723631979982,-3.9287815991451613,1.9975743488204335e-13
113,5.75,-0.21714723644874243,-3.934478247246598,3.0673475822870813e-13
114,5.8,-0.21714723650070047,-3.940020478126977,2.548006937096093e-13
115,5.85,-0.2171472367379261,-3.9454159847335695,1.7746861918911881e-13
116,5.9,-0.21714723530785968,-3.950671249096422,1.9751159104544958e-13
117,5.95,-0.2171472361575821,-3.9557930970170014,3.9236481710715853e-13
118,6.0,-0.21714723513979134,-3.960787923693109,4.633829953809298e-13
119,6.05,-0.21714723702208077,-3.965661603635868,2.0030347835255795e-13
120,6.1,-0.2171472370776827,-3.970418906365064,2.383894691676869e-13
121,6.15,-0.21714723484045423,-3.975065655587326,3.4095755137973387e-13
122,6.2,-0.2171472350867481,-3.9796119777672114,5.653679935269832e-13
123,6.25,-0.21714723489538124,-3.9840562299374844,8.753291751941637e-13
124,6.3,-0.21714723590596088,-3.9884032272265353,3.6180328253917074e-13
125,6.35,-0.21714723485362258,-3.9926564148415604,9.528805614194592e-13
126,6.4,-0.2171472364677844,-3.9968202075074313,1.710915145249557e-13
127,6.45,-0.2171472354568993,-4.0008972393962825,4.007232694611504e-13
128,6.5,-0.2171472350907636,-4.004891639146116,4.975281771823008e-13
129,6.55,-0.21714723464540578,-4.008805901602599,5.1444440356006e-13
130,6.6,-0.21714723658833324,-4.012643866844245,2.7937994290343743e-13
131,6.65,-0.21714723480578127,-4.016407699400498,3.567780548933369e-13
132,6.7,-0.21714723559736626,-4.020100397622976,2.1722888993808122e-13
133,6.75,-0.21714723659915636,-4.023724330248088,3.301643393554766e-13
134,6.8,-0.21714723534813357,-4.027282453302702,5.59373569910589e-13
135,6.85,-0.21714723584503648,-4.030776439024832,5.465339859768747e-13
136,6.9,-0.21714723503184108,-4.034210347697935,5.151093649509958e-13
137,6.95,-0.21714723598677171,-4.037585091046861,3.7802049895108477e-13
138,7.0,-0.21714723533193345,-4.040902639951265,4.094325834575061e-13
139,7.05,-0.21714723600441885,-4.044164315445724,5.327304847516434e-13
140,7.1,-0.2171472358086558,-4.047372654924665,2.9478786749149294e-13
141,7.15,-0.21714723621801574,-4.0505291102073855,1.9125285309235358e-13
142,7.2,-0.21714723719322104,-4.053635382522806,1.1097942331548726e-13
143,7.25,-0.21714723507712866,-4.056693242266683,2.2670531418211968e-13
144,7.3,-0.21714723424938984,-4.059703594870432,7.637054394502128e-13
145,7.35,-0.21714723586110743,-4.062668899419364,6.628059746486665e-13
146,7.4,-0.21714723567038885,-4.0655900695719565,5.365938319906484e-13
147,7.45,-0.21714723545256695,-4.068468547156117,3.372504885015197e-13
148,7.5,-0.21714723676680756,-4.0713058702052205,3.132830207235795e-13
149,7.55,-0.21714723718003223,-4.074103176830273,1.262077754933315e-13
150,7.6,-0.2171472356765071,-4.076861696248662,2.8479566605735775e-13
151,7.65,-0.2171472348541758,-4.079582802425414,7.33828284678764e-13
152,7.7,-0.21714723461547883,-4.082267589948222,4.911453647689966e-13
153,7.75,-0.2171472370890629,-4.084917262255413,5.077367067424033e-13
154,7.8,-0.21714723536369418,-4.087533457614274,3.2400058643815957e-13
155,7.85,-0.2171472363679394,-4.090116158570503,3.4501903799573517e-13
156,7.9,-0.21714723623614815,-4.0926680050939686,2.286494794891531e-13
157,7.95,-0.21714723618048778,-4.0951890440156715,1.2808144755203084e-13
158,8.0,-0.2171472350448134,-4.097687197618928,7.361196562779739e-13
159,8.05,-0.2171472369827256,-4.100158046065665,2.5053165123959885e-13
160,8.1,-0.2171472358069227,-4.102602461832126,4.664358459838406e-13
161,8.15,-0.21714723648066056,-4.105021343073656,5.589303592452892e-13
162,8.2,-0.21714723652886211,-4.107417001759998,3.9597883620263595e-13
163,8.25,-0.21714723747769293,-4.109791584376497,6.37964516300384e-13
164,8.3,-0.21714723596231614,-4.112148086590907,4.1991759690044183e-13
165,8.35,-0.2171472346653403,-4.114493490330847,5.454536193652657e-13
166,8.4,-0.21714723673400765,-4.116846694970052,3.7903087469504687e-13
167,8.45,-0.21714723611306916,-4.119178466376105,2.1372204248960797e-13
168,8.5,-0.2171472353147352,-4.12148224877546,2.4624784533656195e-13
169,8.55,-0.21714723457757837,-4.123757877573971,4.137935880523373e-13
170,8.6,-0.2171472348381981,-4.1260048524107305,3.5588961575249647e-13
171,8.65,-0.21714723733883964,-4.128224077929698,1.7595010987220715e-13
172,8.7,-0.2171472379316603,-4.130415871078542,4.651937318108159e-13
173,8.75,-0.2171472365843964,-4.132580237056939,1.749215001034265e-13
174,8.8,-0.21714723662785937,-4.134718252260582,6.330007783667727e-13
175,8.85,-0.21714723702754266,-4.136830212123076,2.725043025856569e-13
176,8.9,-0.21714723592941784,-4.138916249429481,4.2136244857521364e-13
177,8.95,-0.2171472352596254,-4.140977381549906,2.5935197826628535e-13
178,9.0,-0.21714723684684162,-4.143013742236356,1.4830069526355956e-13
179,9.05,-0.2171472364061403,-4.145026418707376,5.363794503835568e-13
180,9.1,-0.2171472374720462,-4.14701510651499,2.6071423579327495e-13
181,9.15,-0.21714723712997544,-4.1489808078062484,1.5919373825560744e-13
182,9.2,-0.21714723598638389,-4.150923960885995,2.50270117672703e-13
183,9.25,-0.21714723674905617,-4.1528450862081066,2.6250997665634597e-13
184,9.3,-0.21714723633776598,-4.154744347291579,2.656828844775577e-13
185,9.35,-0.21714723607858458,-4.156622421553398,3.6356024675493427e-13
186,9.4,-0.21714723640493724,-4.158479598188685,3.698958403968157e-13
187,9.45,-0.21714723443005332,-4.160316740420697,5.875744547417504e-13
188,9.5,-0.2171472367570099,-4.162133632641887,2.092119480147207e-13
189,9.55,-0.2171472380473019,-4.163930793575122,1.9741751033102362e-13
190,9.6,-0.2171472358341534,-4.165713401905074,7.174413099408053e-13
191,9.65,-0.2171472347816767,-4.167477415751389,3.6113031116627024e-13
192,9.7,-0.21714723806901484,-4.16922268742386,2.5239002719751285e-13
193,9.75,-0.21714723389731072,-4.170950370274398,3.7278789716005936e-13
194,9.8,-0.21714723553020737,-4.172660588164844,4.576222141768786e-13
195,9.85,-0.2171472345885401,-4.17435309374775,4.189553795076772e-13
196,9.9,-0.21714723457216892,-4.176029083741341,7.955157780861708e-13
197,9.95,-0.21714723509307238,-4.177688256070372,6.889764829037325e-13
