mH,k,b,err^2
0.1,-0.2171472370128554,0.5048084041629641,3.1582755999809514e-13
0.2,-0.217147238497923,0.28181160907727865,2.412933895983737e-13
0.3,-0.21714723518510967,-2.1758316391791053,3.317292902822195e-13
0.4,-0.2171472352274525,-2.4207584724063684,3.5061578809733544e-13
0.5,-0.21714723568981018,-2.5620428804405466,4.680000606015362e-13
0.6,-0.21714723756082258,-2.656859581855242,1.3488906197958718e-13
0.7,-0.21714723699462762,-2.7446769314990185,2.2465550874473387e-13
0.8,-0.21714723379224604,-2.8517628029400064,6.379343871104442e-13
0.9,-0.2171472358043823,-3.0412859522930034,2.063636036574552e-13
1.0,-0.21714723464638466,-3.1810820153239785,2.8780279818253975e-13
1.1,-0.217147236537469,-2.9613412695483516,5.308058542531305e-13
1.2,-0.21714723496906985,-2.888248722325802,4.121501173973545e-13
1.3,-0.21714723563964367,-2.9004478139979133,3.431474407240072e-13
1.4,-0.21714723587641388,-2.901590255213199,4.749172109243412e-13
1.5,-0.21714723634965563,-2.880415620509256,3.4024064132796836e-13
1.6,-0.21714723456368404,-2.8871712640190608,3.9123998393788043e-13
1.7,-0.21714723654575077,-2.866458708551265,2.455323941300085e-13
1.8,-0.21714723697379512,-2.848864983556446,3.2846416966016805e-13
1.9,-0.21714723617600018,-2.84418543662662,3.086173531287987e-13
2.0,-0.21714723727604987,-2.84025449263275,2.535004549060429e-13
2.1,-0.21714723463137456,-2.862641459225695,3.8578814679195943e-13
2.2,-0.21714723779062886,-2.884741644874799,6.805426127927962e-13
2.3,-0.21714723608994213,-2.9063013326623612,1.6252139397821024e-13
2.4,-0.21714723656634538,-2.9282938270260157,2.565558425271812e-13
2.5,-0.21714723573866496,-2.951880331868546,3.6902916901878045e-13
2.6,-0.2171472353726039,-2.9786162566214367,6.388120248883386e-13
2.7,-0.217147235094607,-3.0043600496423184,5.582788749079022e-13
2.8,-0.21714723599091446,-3.0252115544111646,2.513774200061622e-13
2.9,-0.21714723716496254,-3.0424880567883754,4.986692809592932e-13
3.0,-0.21714723630718571,-3.057385553896978,4.978062659288111e-13
3.1,-0.21714723580905895,-3.0707867745760105,2.4197887541215415e-13
3.2,-0.2171472347707742,-3.082383385522858,4.582972607201637e-13
3.3,-0.21714723497011792,-3.0927832199502197,3.334692057327195e-13
3.4,-0.2171472358368962,-3.1026148724969005,4.2436369274004527e-13
3.5,-0.21714723642168746,-3.111554814976268,4.053481392397186e-13
3.6,-0.21714723635727526,-3.137614912762589,1.8745375902236696e-13
3.7,-0.21714723570762326,-3.210165200506531,2.7397753238249487e-13
3.8,-0.21714723594863888,-3.3045163028709466,3.220678378174034e-13
3.9,-0.21714723651599677,-3.4021159772778358,2.422560078613664e-13
4.0,-0.21714723529702767,-3.480197756297347,4.1275401223355977e-13
4.1,-0.21714723651627554,-3.54291105031463,4.031177174000823e-13
4.2,-0.21714723602507455,-3.5945707044246933,4.168455943150791e-13
4.3,-0.2171472348332518,-3.638113746330917,2.8845863938145627e-13
4.4,-0.21714723469034156,-3.6755326704312505,2.9986267373000935e-13
4.5,-0.21714723594364013,-3.708206900648572,3.728407826875559e-13
4.6,-0.21714723620750817,-3.7371017937129096,2.2679566170109925e-13
4.7,-0.21714723744354852,-3.762949020999906,2.8651347780687983e-13
4.8,-0.21714723505380634,-3.7862350245973504,5.027922690700876e-13
4.9,-0.21714723734001595,-3.8074014708368287,1.8570369613077006e-13
5.0,-0.21714723506776815,-3.8268508332300577,4.114837800618893e-13
5.1,-0.217147237588178,-3.8447297523567316,4.167916428261863e-13
5.2,-0.21714723622629561,-3.8612322759783977,4.0303001413433275e-13
5.3,-0.21714723593192894,-3.8765688682175563,2.9744745084638904e-13
5.4,-0.2171472357675813,-3.8908806844070885,2.8804016300875475e-13
5.5,-0.2171472371361594,-3.904285169709238,1.561734120101651e-13
5.6,-0.2171472359191172,-3.9168913331430204,3.3459770655199024e-13
5.7,-0.21714723631979982,-3.9287815991451613,1.9975743488204335e-13
5.8,-0.21714723650070047,-3.940020478126977,2.548006937096093e-13
5.9,-0.21714723530785968,-3.950671249096422,1.9751159104544958e-13
6.0,-0.21714723513979134,-3.960787923693109,4.633829953809298e-13
6.1,-0.2171472370776827,-3.970418906365064,2.383894691676869e-13
6.2,-0.2171472350867481,-3.9796119777672114,5.653679935269832e-13
6.3,-0.21714723590596088,-3.9884032272265353,3.6180328253917074e-13
6.4,-0.2171472364677844,-3.9968202075074313,1.710915145249557e-13
