mH,tau,tau_1e-07
0.0846220425952921,35.91677103476873,3591.6771034768735
0.092052857783564,32.94255839307029,3294.2558393070294
0.1001361863438698,30.036039357152458,3003.6039357152463
0.1089293266600201,27.49441416208154,2749.4414162081544
0.1184946085909309,25.21764395638028,2521.7643956380284
0.1288998352935868,23.129409594323867,2312.940959432387
0.1402187638432814,21.25606248314873,2125.6062483148735
0.1525316280579929,19.418978951765556,1941.8978951765557
0.1659257072329173,17.740667813150548,1774.066781315055
0.1804959448166141,16.30377731827863,1630.3777318278633
0.1963456214142268,14.777428858688356,1477.7428858688359
0.210343381859932,12.223964176928073,1222.3964176928075
0.2114191060932677,6.816713761157999,681.6713761158
0.2135870868883383,4.260669627258974,426.0669627258974
0.2135870868883383,2.6411043017226867,264.1104301722687
0.2130430163507571,1.588260518249233,158.82605182492333
0.2152276494073769,1.0145304859170383,101.45304859170383
0.2146793998637299,0.5991480586908948,59.91480586908949
0.2171575722662782,0.3515901480190193,35.15901480190193
0.216880813087928,0.2102000247946774,21.020002479467742
0.2164663355283826,0.1398479911302456,13.984799113024563
0.2190249810926667,0.0807371662057851,8.07371662057851
0.217989970620346,0.045228203634784,4.5228203634784006
0.2202253318351193,0.0242876540187438,2.4287654018743807
0.2227675242394312,0.0135720937080098,1.3572093708009803
0.2262028219519223,0.0086237638828779,0.8623763882877902
0.2307921737979975,0.0053219961365221,0.5321996136522101
0.2401142671296253,0.0030457432130842,0.30457432130842005
0.2556625645520363,0.0017777457323334,0.17777457323334
0.2718014080458219,0.0011082324530986,0.11082324530986003
0.2781127584906486,0.000632026947222,0.06320269472220001
0.2822472315755254,0.0003768321539741,0.03768321539741
0.2920914007317952,0.0002171228076514,0.021712280765140004
0.308672360774097,0.0001398039536998,0.01398039536998
0.3328994374436712,9.32470301094e-05,0.00932470301094
0.362131941411393,6.35858008362e-05,0.006358580083620001
0.393931404622978,4.38767729258e-05,0.004387677292580001
0.4285232364298429,3.21259657157e-05,0.0032125965715700004
0.4661526397877741,2.3944280906e-05,0.0023944280906000003
0.5070863493692626,1.83831908643e-05,0.0018383190864300005
0.5516145223026361,1.45958687444e-05,0.0014595868744400004
0.60005279494043,1.16577221524e-05,0.0011657722152400001
0.6527445202363213,9.4593939491e-06,0.00094593939491
0.7100632015901926,7.585138741e-06,0.0007585138741000002
0.7724151404135521,5.754839692e-06,0.0005754839692000001
0.8338376090984427,3.8715651675e-06,0.00038715651675000004
0.8830890620570094,2.4736391163e-06,0.00024736391163
0.9165722626236964,1.4586687461e-06,0.00014586687461
0.949672084312072,8.2954101130077e-07,8.295410113007702e-05
0.9980990174443256,4.850855282873146e-07,4.850855282873146e-05
1.0083339462612304,3.606332584960974e-07,3.606332584960974e-05
1.073353543795782,7.670127927545713e-07,7.670127927545714e-05
1.1542821001156107,1.1915151915e-06,0.00011915151915000003
1.2460706377016573,1.907855269e-06,0.00019078552690000001
1.350314399936784,2.8785671817e-06,0.00028785671817000005
1.4688879588377448,2.857364963e-06,0.00028573649630000004
1.5978736772114168,2.1937382747e-06,0.00021937382747000002
1.738185865683963,1.6976057623e-06,0.00016976057623000002
1.890819122157525,1.3084960125e-06,0.00013084960125
2.056855381981685,1.0105695287e-06,0.00010105695287000002
2.237471587213283,7.789359744688954e-07,7.789359744688956e-05
2.433948029327859,6.003953563495886e-07,6.0039535634958865e-05
2.647677424519746,4.949402785558138e-07,4.9494027855581385e-05
2.847306626664305,3.818622018999548e-07,3.8186220189995485e-05
2.958350244547776,2.3050404153326095e-07,2.30504041533261e-05
3.157153414429003,1.4065892706467032e-07,1.4065892706467034e-05
3.408210322282125,9.096116003645672e-08,9.096116003645673e-06
3.707491458153076,6.633779595544541e-08,6.633779595544543e-06
4.033053013897949,5.072986075737098e-08,5.072986075737099e-06
4.387202720896937,4.0839493943861486e-08,4.08394939438615e-06
4.772450956612321,3.393350782205474e-08,3.393350782205475e-06
5.191528539308848,2.9043613660270154e-08,2.904361366027016e-06
5.647406085360772,2.5354489608696762e-08,2.5354489608696767e-06
6.143315066359213,2.2353743194046e-08,2.2353743194046005e-06
6.682770715282313,1.970814015573624e-08,1.9708140155736246e-06
7.269596944097796,1.7548184436111806e-08,1.7548184436111806e-06
7.90795344942543,1.5655861517871282e-08,1.5655861517871286e-06
8.602365198396932,1.3885037403581309e-08,1.3885037403581312e-06
9.357754503722749,1.1931235391655692e-08,1.1931235391655693e-06
9.98660203850638,7.613252404538696e-09,7.613252404538697e-07
10.536084252913692,4.632833084270372e-09,4.632833084270373e-07
11.330482420023682,2.933440338318534e-09,2.9334403383185345e-07
12.325432651369711,2.109962218993244e-09,2.109962218993244e-07
13.407751268823125,1.655519634173986e-09,1.6555196341739862e-07
14.585110248981865,1.3837493768547227e-09,1.383749376854723e-07
15.865855258637117,1.2032204216606963e-09,1.2032204216606965e-07
17.259064812732227,1.069235845705532e-09,1.0692358457055321e-07
18.774614627089395,9.634062382163338e-10,9.634062382163339e-08
20.423247622066132,8.784049903689081e-10,8.784049903689082e-08
22.21665007335996,8.056656223350415e-10,8.056656223350418e-08
24.167534449753276,7.433435357841715e-10,7.433435357841717e-08
26.28972952499129,6.912851636440744e-10,6.912851636440746e-08
28.598278402547383,6.390726109733205e-10,6.390726109733205e-08
31.10954514812107,5.943166156561671e-10,5.943166156561672e-08
33.84133078572927,5.559813674320376e-10,5.559813674320377e-08
36.81299947962488,5.13988268262981e-10,5.139882682629812e-08
40.04561579647867,4.798851807737993e-10,4.798851807737993e-08
43.56209402080282,4.4627751470472385e-10,4.462775147047239e-08
47.38736058203232,4.142041446280129e-10,4.1420414462801295e-08
51.54853074462389,3.8595826013468117e-10,3.859582601346812e-08
56.07510081363287,3.5821995447602925e-10,3.582199544760293e-08
59.843386132014345,3.3859446351693056e-10,3.3859446351693065e-08
