Unnamed: 0,number_of_production,m,id,total_events,seed,decay_pos_x,LLP_number_per_ev,Cross_section_fb,decay_pos_y,decay_pos_t,mass_input,tau,tanb,decay_pos_z,tau_input,detected_SHiP,cross_section,detector_acceptance_SHiP,significance_lowest
1552,3015,0.01,999999,3180,29581,297.888,10177,884425.0,3012.65,3027.34,0.01,158.61,1.0,74013.1,115.221,True,3.20879208792088,6.856231067452847e-05,(9469634570.747753+0j)
1652,6946,0.0112202,999999,7295,798228,-362.282,23331,881845.0,179.5,404.312,0.0112202,306.27,1.0,83093.9,102.588,True,3.2062120621206214,5.614157658022943e-05,(7722880788.016414+0j)
2440,3015,0.0125893,999999,3180,29581,187.627,10177,884425.0,1897.13,1906.39,0.0125893,125.743,1.0,46608.0,91.345,True,3.20879208792088,5.60964360064324e-05,(7742771967.776813+0j)
8030,24127,0.0141254,999999,25292,29581,792.836,81135,884302.0,1002.6,1278.2,0.0141254,290.999,1.0,46957.8,81.3401,True,3.20879208792088,2.4931749336192176e-05,(3439404104.0745144+0j)
12160,26955,0.0158489,999999,28267,29581,261.785,90625,886509.0,1181.97,1210.61,0.0158489,175.737,1.0,45650.9,72.4344,True,3.20879208792088,1.869881200214413e-05,(2584851475.5954094+0j)
3774,72800,0.0177828,999999,76320,29581,-1068.21,244767,889282.0,-1375.1,1741.25,0.0177828,192.359,1.0,66442.4,64.5047,True,3.20879208792088,6.232937334048044e-06,(863884222.703712+0j)
6480,72800,0.0199526,999999,76320,29581,-847.785,244767,889282.0,-1091.37,1381.97,0.0199526,171.296,1.0,52732.6,57.4414,True,3.20879208792088,6.232937334048044e-06,(863403278.271049+0j)
430,57575,0.0223872,999999,60429,46662,617.283,193917,885322.0,1577.6,1694.07,0.0223872,230.701,1.0,48214.1,51.1479,True,3.2079520795207954,1.246913888126886e-05,(1718040957.472747+0j)
12396,72800,0.0251189,999999,76320,29581,-846.101,244767,889282.0,-1089.28,1379.28,0.0251189,215.228,1.25893,52629.5,72.1733,True,3.20879208792088,6.232937334048044e-06,(522733783.63239723+0j)
12900,72800,0.0281838,999999,76320,29581,-1063.86,244767,889282.0,-1369.69,1734.31,0.0281838,303.646,1.58489,66175.8,101.823,True,3.20879208792088,6.232937334048044e-06,(321227219.27298105+0j)
9622,72800,0.0316228,999999,76320,29581,-843.763,244767,889282.0,-1086.39,1375.57,0.0316228,270.22,1.58489,52486.5,90.6141,True,3.20879208792088,6.232937334048044e-06,(320941077.30544496+0j)
3298,72800,0.0354813,999999,76320,29581,-1060.21,244767,889282.0,-1365.18,1728.52,0.0354813,380.98,1.99526,65952.8,127.756,True,3.20879208792088,6.232937334048044e-06,(199018146.64995593+0j)
12884,72800,0.0398107,999999,76320,29581,-840.093,244767,889282.0,-1081.86,1369.73,0.0398107,338.733,1.99526,52262.1,113.589,True,3.20879208792088,6.232937334048044e-06,(198793617.53112742+0j)
3184,72800,0.0446684,999999,76320,29581,-1054.21,244767,889282.0,-1357.76,1718.97,0.0446684,476.959,2.51189,65585.7,159.941,True,3.20879208792088,6.232937334048044e-06,(123976896.62110296+0j)
1258,72800,0.0501187,999999,76320,29581,-833.749,244767,889282.0,-1073.99,1359.63,0.0501187,423.272,2.51189,51873.7,141.938,True,3.20879208792088,6.232937334048044e-06,(123799643.61066256+0j)
7724,36887,0.0562341,999999,38711,720248,-1026.36,123975,886154.0,920.511,1378.68,0.0562341,721.776,3.16228,55635.9,199.299,True,3.2032040640812816,1.2487746398846132e-05,(154407480.93051142+0j)
3050,72800,0.0630957,999999,76320,29581,-821.495,244767,889282.0,-1058.67,1340.01,0.0630957,525.141,3.16228,51120.9,176.098,True,3.20879208792088,6.232937334048044e-06,(77335123.292471+0j)
1254,72800,0.0707946,999999,76320,29581,-1020.56,244767,889282.0,-1315.61,1665.04,0.0707946,732.098,3.98107,63516.9,245.498,True,3.20879208792088,6.232937334048044e-06,(48493638.16370731+0j)
7398,72800,0.0794328,999999,76320,29581,-793.343,244767,889282.0,-1023.1,1294.66,0.0794328,638.657,3.98107,49383.8,214.164,True,3.20879208792088,6.232937334048044e-06,(48382528.50467435+0j)
4,72800,0.0891251,999999,76320,29581,-960.792,244767,889282.0,-1239.66,1568.4,0.0891251,868.025,5.01187,59819.7,291.079,True,3.20879208792088,6.232937334048044e-06,(30368834.548798013+0j)
7546,36887,0.1,999999,38711,720248,-1091.02,123975,886154.0,981.668,1467.65,0.1,1374.01,6.30957,59556.2,379.395,True,3.2032040640812816,1.2487746398846132e-05,(38015268.52378099+0j)
10632,72800,0.112202,999999,76320,29581,-1132.92,244767,889282.0,-1463.78,1850.98,0.112202,1289.36,7.94328,70578.3,432.366,True,3.20879208792088,6.232937334048044e-06,(11983947.1355497+0j)
12722,72800,0.125893,999999,76320,29581,-864.605,244767,889282.0,-1118.2,1413.48,0.125893,1104.55,12.5893,53885.7,370.394,True,3.20879208792088,6.232937334048044e-06,(4748701.191230179+0j)
3404,72800,0.141254,999999,76320,29581,-731.561,244767,889282.0,-947.301,1196.9,0.141254,1049.2,15.8489,45618.0,351.833,True,3.20879208792088,6.232937334048044e-06,(2983702.4722192273+0j)
1332,72800,0.158489,999999,76320,29581,-734.05,244767,889282.0,-951.998,1202.14,0.158489,1182.05,7.94328,45803.6,396.381,True,3.20879208792088,6.232937334048044e-06,(11843450.888191164+0j)
